,,,,,
Input,Match type,Approved symbol,Approved name,HGNC ID,Location
DIS3L,Approved symbol,DIS3L,DIS3 like exosome 3'-5' exoribonuclease,HGNC:28698,15q22.31
DISC1,Approved symbol,DISC1,DISC1 scaffold protein,HGNC:2888,1q42.2
DKKL1,Approved symbol,DKKL1,dickkopf like acrosomal protein 1,HGNC:16528,19q13.33
DLC1,Approved symbol,DLC1,DLC1 Rho GTPase activating protein,HGNC:2897,8p22
DLC1,Alias symbol,DLEC1,DLEC1 cilia and flagella associated protein,HGNC:2899,3p22.2
DLC1,Alias symbol,DYNLL1,dynein light chain LC8-type 1,HGNC:15476,12q24.31
DLEC1,Approved symbol,DLEC1,DLEC1 cilia and flagella associated protein,HGNC:2899,3p22.2
DLG2,Approved symbol,DLG2,discs large MAGUK scaffold protein 2,HGNC:2901,11q14.1
DLG2,Previous symbol,MPP2,MAGUK p55 scaffold protein 2,HGNC:7220,17q21.31
DLG3,Approved symbol,DLG3,discs large MAGUK scaffold protein 3,HGNC:2902,Xq13.1
DLG3,Previous symbol,MPP3,MAGUK p55 scaffold protein 3,HGNC:7221,17q21.31
DLGAP1,Approved symbol,DLGAP1,DLG associated protein 1,HGNC:2905,18p11.31
DLGAP2,Approved symbol,DLGAP2,DLG associated protein 2,HGNC:2906,8p23.3
DMBT1,Approved symbol,DMBT1,deleted in malignant brain tumors 1,HGNC:2926,10q26.13
DMD,Approved symbol,DMD,dystrophin,HGNC:2928,Xp21.2-p21.1
DMKN,Approved symbol,DMKN,dermokine,HGNC:25063,19q13.12
DMRT2,Approved symbol,DMRT2,doublesex and mab-3 related transcription factor 2,HGNC:2935,9p24.3
DMXL2,Approved symbol,DMXL2,Dmx like 2,HGNC:2938,15q21.2
DNAH1,Approved symbol,DNAH1,dynein axonemal heavy chain 1,HGNC:2940,3p21.1
DNAH10,Approved symbol,DNAH10,dynein axonemal heavy chain 10,HGNC:2941,12q24.31
DNAH11,Approved symbol,DNAH11,dynein axonemal heavy chain 11,HGNC:2942,7p15.3
DNAH17,Approved symbol,DNAH17,dynein axonemal heavy chain 17,HGNC:2946,17q25.3
DNAH2,Approved symbol,DNAH2,dynein axonemal heavy chain 2,HGNC:2948,17p13.1
DNAH5,Approved symbol,DNAH5,dynein axonemal heavy chain 5,HGNC:2950,5p15.2
DNAH6,Approved symbol,DNAH6,dynein axonemal heavy chain 6,HGNC:2951,2p11.2
DNAH7,Approved symbol,DNAH7,dynein axonemal heavy chain 7,HGNC:18661,2q32.3
DNAH8,Approved symbol,DNAH8,dynein axonemal heavy chain 8,HGNC:2952,6p21.2
DNAH9,Approved symbol,DNAH9,dynein axonemal heavy chain 9,HGNC:2953,17p12
DNAI1,Approved symbol,DNAI1,dynein axonemal intermediate chain 1,HGNC:2954,9p13.3
DNAI2,Approved symbol,DNAI2,dynein axonemal intermediate chain 2,HGNC:18744,17q25.1
DNAJB1,Approved symbol,DNAJB1,DnaJ heat shock protein family (Hsp40) member B1,HGNC:5270,19p13.12
DNAJB11,Approved symbol,DNAJB11,DnaJ heat shock protein family (Hsp40) member B11,HGNC:14889,3q27.3
DNAJB3,Approved symbol,DNAJB3,DnaJ heat shock protein family (Hsp40) member B3,HGNC:32397,2q37.1
DNAJC13,Approved symbol,DNAJC13,DnaJ heat shock protein family (Hsp40) member C13,HGNC:30343,3q22.1
DNAJC14,Approved symbol,DNAJC14,DnaJ heat shock protein family (Hsp40) member C14,HGNC:24581,12q13.2
DNAJC2,Approved symbol,DNAJC2,DnaJ heat shock protein family (Hsp40) member C2,HGNC:13192,7q22.1
DNAJC25,Approved symbol,DNAJC25,DnaJ heat shock protein family (Hsp40) member C25,HGNC:34187,9q31.3
DNAJC4,Approved symbol,DNAJC4,DnaJ heat shock protein family (Hsp40) member C4,HGNC:5271,11q13.1
DNAJC6,Approved symbol,DNAJC6,DnaJ heat shock protein family (Hsp40) member C6,HGNC:15469,1p31.3
DNM1,Approved symbol,DNM1,dynamin 1,HGNC:2972,9q34.11
DNM2,Approved symbol,DNM2,dynamin 2,HGNC:2974,19p13.2
DNM3,Approved symbol,DNM3,dynamin 3,HGNC:29125,1q24.3
DNMT3B,Approved symbol,DNMT3B,DNA methyltransferase 3 beta,HGNC:2979,20q11.21
DNPEP,Approved symbol,DNPEP,aspartyl aminopeptidase,HGNC:2981,2q35
DNTT,Approved symbol,DNTT,DNA nucleotidylexotransferase,HGNC:2983,10q24.1
DNTTIP2,Approved symbol,DNTTIP2,deoxynucleotidyltransferase terminal interacting protein 2,HGNC:24013,1p22.1
DOCK1,Approved symbol,DOCK1,dedicator of cytokinesis 1,HGNC:2987,10q26.2
DOCK10,Approved symbol,DOCK10,dedicator of cytokinesis 10,HGNC:23479,2q36.2
DOCK11,Approved symbol,DOCK11,dedicator of cytokinesis 11,HGNC:23483,Xq24
DOCK2,Approved symbol,DOCK2,dedicator of cytokinesis 2,HGNC:2988,5q35.1
DOCK3,Approved symbol,DOCK3,dedicator of cytokinesis 3,HGNC:2989,3p21.2
DOCK4,Approved symbol,DOCK4,dedicator of cytokinesis 4,HGNC:19192,7q31.1
DOCK5,Approved symbol,DOCK5,dedicator of cytokinesis 5,HGNC:23476,8p21.2
DOK3,Approved symbol,DOK3,docking protein 3,HGNC:24583,5q35.3
DOK4,Approved symbol,DOK4,docking protein 4,HGNC:19868,16q21
DOK7,Approved symbol,DOK7,docking protein 7,HGNC:26594,4p16.3
DOPEY1,Previous symbol,DOP1A,DOP1 leucine zipper like protein A,HGNC:21194,6q14.1
DOPEY2,Previous symbol,DOP1B,DOP1 leucine zipper like protein B,HGNC:1291,21q22.12
DOT1L,Approved symbol,DOT1L,DOT1 like histone lysine methyltransferase,HGNC:24948,19p13.3
DPCD,Approved symbol,DPCD,deleted in primary ciliary dyskinesia homolog (mouse),HGNC:24542,10q24.32
DPF3,Approved symbol,DPF3,double PHD fingers 3,HGNC:17427,14q24.2
DPH1,Approved symbol,DPH1,diphthamide biosynthesis 1,HGNC:3003,17p13.3
DPP10,Approved symbol,DPP10,dipeptidyl peptidase like 10,HGNC:20823,2q14.1
DPP4,Approved symbol,DPP4,dipeptidyl peptidase 4,HGNC:3009,2q24.2
DPP9,Approved symbol,DPP9,dipeptidyl peptidase 9,HGNC:18648,19p13.3
DPYD,Approved symbol,DPYD,dihydropyrimidine dehydrogenase,HGNC:3012,1p21.3
DPYS,Approved symbol,DPYS,dihydropyrimidinase,HGNC:3013,8q22.3
DRP2,Approved symbol,DRP2,dystrophin related protein 2,HGNC:3032,Xq22.1
DRP2,Alias symbol,DPYSL2,dihydropyrimidinase like 2,HGNC:3014,8p21.2
DSC2,Approved symbol,DSC2,desmocollin 2,HGNC:3036,18q12.1
DSC2,Alias symbol,DSC3,desmocollin 3,HGNC:3037,18q12.1
DSCAM,Approved symbol,DSCAM,DS cell adhesion molecule,HGNC:3039,21q22.2
DSCAML1,Approved symbol,DSCAML1,DS cell adhesion molecule like 1,HGNC:14656,11q23.3
DSG2,Approved symbol,DSG2,desmoglein 2,HGNC:3049,18q12.1
DSPP,Approved symbol,DSPP,dentin sialophosphoprotein,HGNC:3054,4q22.1
DST,Approved symbol,DST,dystonin,HGNC:1090,6p12.1
DTL,Approved symbol,DTL,denticleless E3 ubiquitin protein ligase homolog,HGNC:30288,1q32.3
DTNA,Approved symbol,DTNA,dystrobrevin alpha,HGNC:3057,18q12.1
DTNBP1,Approved symbol,DTNBP1,dystrobrevin binding protein 1,HGNC:17328,6p22.3
DTX2,Approved symbol,DTX2,deltex E3 ubiquitin ligase 2,HGNC:15973,7q11.23
DTX3L,Approved symbol,DTX3L,deltex E3 ubiquitin ligase 3L,HGNC:30323,3q21.1
DUOX2,Approved symbol,DUOX2,dual oxidase 2,HGNC:13273,15q21.1
DUOXA1,Approved symbol,DUOXA1,dual oxidase maturation factor 1,HGNC:26507,15q21.1
DUS1L,Approved symbol,DUS1L,dihydrouridine synthase 1 like,HGNC:30086,17q25.3
DUS2,Approved symbol,DUS2,dihydrouridine synthase 2,HGNC:26014,16q22.1
DUS3L,Approved symbol,DUS3L,dihydrouridine synthase 3 like,HGNC:26920,19p13.3
DUSP11,Approved symbol,DUSP11,dual specificity phosphatase 11,HGNC:3066,2p13.1
DUSP13,Approved symbol,DUSP13,dual specificity phosphatase 13,HGNC:19681,10q22.2
DUSP19,Approved symbol,DUSP19,dual specificity phosphatase 19,HGNC:18894,2q32.1
DUSP22,Approved symbol,DUSP22,dual specificity phosphatase 22,HGNC:16077,6p25.3
DUSP28,Approved symbol,DUSP28,dual specificity phosphatase 28,HGNC:33237,2q37.3
DUSP8,Approved symbol,DUSP8,dual specificity phosphatase 8,HGNC:3074,11p15.5
DVL1,Approved symbol,DVL1,dishevelled segment polarity protein 1,HGNC:3084,1p36.33
DYM,Approved symbol,DYM,dymeclin,HGNC:21317,18q21.1
DYNC1I1,Approved symbol,DYNC1I1,dynein cytoplasmic 1 intermediate chain 1,HGNC:2963,7q21.3
DYNC2H1,Approved symbol,DYNC2H1,dynein cytoplasmic 2 heavy chain 1,HGNC:2962,11q22.3
DYRK1B,Approved symbol,DYRK1B,dual specificity tyrosine phosphorylation regulated kinase 1B,HGNC:3092,19q13.2
DYRK4,Approved symbol,DYRK4,dual specificity tyrosine phosphorylation regulated kinase 4,HGNC:3095,12p13.32
DYSF,Approved symbol,DYSF,dysferlin,HGNC:3097,2p13.2
DYTN,Approved symbol,DYTN,dystrotelin,HGNC:23279,2q33.3
DZANK1,Approved symbol,DZANK1,double zinc ribbon and ankyrin repeat domains 1,HGNC:15858,20p11.23
DZIP1,Approved symbol,DZIP1,DAZ interacting zinc finger protein 1,HGNC:20908,13q32.1
DZIP3,Approved symbol,DZIP3,DAZ interacting zinc finger protein 3,HGNC:30938,3q13.13
E2F2,Approved symbol,E2F2,E2F transcription factor 2,HGNC:3114,1p36.12
E2F7,Approved symbol,E2F7,E2F transcription factor 7,HGNC:23820,12q21.2
EBF2,Approved symbol,EBF2,EBF transcription factor 2,HGNC:19090,8p21.2
EBF3,Approved symbol,EBF3,EBF transcription factor 3,HGNC:19087,10q26.3
EBLN2,Approved symbol,EBLN2,endogenous Bornavirus like nucleoprotein 2,HGNC:25493,3p13
ECI1,Approved symbol,ECI1,enoyl-CoA delta isomerase 1,HGNC:2703,16p13.3
ECM2,Approved symbol,ECM2,extracellular matrix protein 2,HGNC:3154,9q22.31
ECT2,Approved symbol,ECT2,epithelial cell transforming 2,HGNC:3155,3q26.31
ECT2L,Approved symbol,ECT2L,epithelial cell transforming 2 like,HGNC:21118,6q24.1
EDA,Approved symbol,EDA,ectodysplasin A,HGNC:3157,Xq13.1
EDAR,Approved symbol,EDAR,ectodysplasin A receptor,HGNC:2895,2q13
EDIL3,Approved symbol,EDIL3,EGF like repeats and discoidin domains 3,HGNC:3173,5q14.3
EEA1,Approved symbol,EEA1,early endosome antigen 1,HGNC:3185,12q22
EEF1A1,Approved symbol,EEF1A1,eukaryotic translation elongation factor 1 alpha 1,HGNC:3189,6q13
EEF2K,Approved symbol,EEF2K,eukaryotic elongation factor 2 kinase,HGNC:24615,16p12.2
EEFSEC,Approved symbol,EEFSEC,"eukaryotic elongation factor, selenocysteine-tRNA specific",HGNC:24614,3q21.3
EEPD1,Approved symbol,EEPD1,endonuclease/exonuclease/phosphatase family domain containing 1,HGNC:22223,7p14.2
EFCAB12,Approved symbol,EFCAB12,EF-hand calcium binding domain 12,HGNC:28061,3q21.3
EFCAB2,Approved symbol,EFCAB2,EF-hand calcium binding domain 2,HGNC:28166,1q44
EFCAB3,Approved symbol,EFCAB3,EF-hand calcium binding domain 3,HGNC:26379,17q23.2
EFCAB5,Approved symbol,EFCAB5,EF-hand calcium binding domain 5,HGNC:24801,17q11.2
EFCAB6,Approved symbol,EFCAB6,EF-hand calcium binding domain 6,HGNC:24204,22q13.2-q13.31
EFHC1,Approved symbol,EFHC1,EF-hand domain containing 1,HGNC:16406,6p12.2
EFHD1,Approved symbol,EFHD1,EF-hand domain family member D1,HGNC:29556,2q37.1
EFR3B,Approved symbol,EFR3B,EFR3 homolog B,HGNC:29155,2p23.3
EFTUD1,Previous symbol,EFL1,elongation factor like GTPase 1,HGNC:25789,15q25.2
EGFL7,Approved symbol,EGFL7,EGF like domain multiple 7,HGNC:20594,9q34.3
EGFLAM,Approved symbol,EGFLAM,"EGF like, fibronectin type III and laminin G domains",HGNC:26810,5p13.2-p13.1
EGR4,Approved symbol,EGR4,early growth response 4,HGNC:3241,2p13.2
EHBP1L1,Approved symbol,EHBP1L1,EH domain binding protein 1 like 1,HGNC:30682,11q13.1
EHD1,Approved symbol,EHD1,EH domain containing 1,HGNC:3242,11q13.1
EHHADH,Approved symbol,EHHADH,enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase,HGNC:3247,3q27.2
EHMT2,Approved symbol,EHMT2,euchromatic histone lysine methyltransferase 2,HGNC:14129,6p21.33
EIF2AK4,Approved symbol,EIF2AK4,eukaryotic translation initiation factor 2 alpha kinase 4,HGNC:19687,15q15.1
EIF4A2,Approved symbol,EIF4A2,eukaryotic translation initiation factor 4A2,HGNC:3284,3q27.3
EIF4E1B,Approved symbol,EIF4E1B,eukaryotic translation initiation factor 4E family member 1B,HGNC:33179,5q35.2
EIF4E2,Approved symbol,EIF4E2,eukaryotic translation initiation factor 4E family member 2,HGNC:3293,2q37.1
EIF4G1,Approved symbol,EIF4G1,eukaryotic translation initiation factor 4 gamma 1,HGNC:3296,3q27.1
EIF4G3,Approved symbol,EIF4G3,eukaryotic translation initiation factor 4 gamma 3,HGNC:3298,1p36.12
EIF5A,Approved symbol,EIF5A,eukaryotic translation initiation factor 5A,HGNC:3300,17p13.1
ELFN1,Approved symbol,ELFN1,extracellular leucine rich repeat and fibronectin type III domain containing 1,HGNC:33154,7p22.3
ELFN2,Approved symbol,ELFN2,extracellular leucine rich repeat and fibronectin type III domain containing 2,HGNC:29396,22q13.1
ELK1,Approved symbol,ELK1,ETS transcription factor ELK1,HGNC:3321,Xp11.23
ELK1,Alias symbol,KCNH4,potassium voltage-gated channel subfamily H member 4,HGNC:6253,17q21.2
ELL,Approved symbol,ELL,elongation factor for RNA polymerase II,HGNC:23114,19p13.11
ELMO3,Approved symbol,ELMO3,engulfment and cell motility 3,HGNC:17289,16q22.1
ELP4,Approved symbol,ELP4,elongator acetyltransferase complex subunit 4,HGNC:1171,11p13
ELTD1,Previous symbol,ADGRL4,adhesion G protein-coupled receptor L4,HGNC:20822,1p31.1
EMILIN1,Approved symbol,EMILIN1,elastin microfibril interfacer 1,HGNC:19880,2p23.3
EML6,Approved symbol,EML6,EMAP like 6,HGNC:35412,2p16.1
EN1,Approved symbol,EN1,engrailed homeobox 1,HGNC:3342,2q14.2
ENDOD1,Approved symbol,ENDOD1,endonuclease domain containing 1,HGNC:29129,11q21
ENDOV,Approved symbol,ENDOV,endonuclease V,HGNC:26640,17q25.3
ENO2,Approved symbol,ENO2,enolase 2,HGNC:3353,12p13.31
ENOX1,Approved symbol,ENOX1,ecto-NOX disulfide-thiol exchanger 1,HGNC:25474,13q14.11
ENOX2,Approved symbol,ENOX2,ecto-NOX disulfide-thiol exchanger 2,HGNC:2259,Xq26.1
ENPEP,Approved symbol,ENPEP,glutamyl aminopeptidase,HGNC:3355,4q25
ENPP2,Approved symbol,ENPP2,ectonucleotide pyrophosphatase/phosphodiesterase 2,HGNC:3357,8q24.12
ENPP4,Approved symbol,ENPP4,ectonucleotide pyrophosphatase/phosphodiesterase 4,HGNC:3359,6p21.1
ENPP7,Approved symbol,ENPP7,ectonucleotide pyrophosphatase/phosphodiesterase 7,HGNC:23764,17q25.3
ENSR00000287235,Unmatched,,,,
ENSR00000371346,Unmatched,,,,
ENSR00000413817,Unmatched,,,,
ENTPD1,Approved symbol,ENTPD1,ectonucleoside triphosphate diphosphohydrolase 1,HGNC:3363,10q24.1
ENTPD1-AS1,Approved symbol,ENTPD1-AS1,ENTPD1 antisense RNA 1,HGNC:45203,10q24.1
ENTPD7,Approved symbol,ENTPD7,ectonucleoside triphosphate diphosphohydrolase 7,HGNC:19745,10q24.2
EP300,Approved symbol,EP300,E1A binding protein p300,HGNC:3373,22q13.2
EP400,Approved symbol,EP400,E1A binding protein p400,HGNC:11958,12q24.33
EPB41L3,Approved symbol,EPB41L3,erythrocyte membrane protein band 4.1 like 3,HGNC:3380,18p11.31
EPB41L4A,Approved symbol,EPB41L4A,erythrocyte membrane protein band 4.1 like 4A,HGNC:13278,5q22.1-q22.2
EPB41L4B,Approved symbol,EPB41L4B,erythrocyte membrane protein band 4.1 like 4B,HGNC:19818,9q31.3
EPB42,Approved symbol,EPB42,erythrocyte membrane protein band 4.2,HGNC:3381,15q15.2
EPC1,Approved symbol,EPC1,enhancer of polycomb homolog 1,HGNC:19876,10p11.22
EPG5,Approved symbol,EPG5,ectopic P-granules 5 autophagy tethering factor,HGNC:29331,18q12.3-q21.1
EPHA10,Approved symbol,EPHA10,EPH receptor A10,HGNC:19987,1p34.3
EPHA3,Approved symbol,EPHA3,EPH receptor A3,HGNC:3387,3p11.1
EPHA7,Approved symbol,EPHA7,EPH receptor A7,HGNC:3390,6q16.1
EPHA8,Approved symbol,EPHA8,EPH receptor A8,HGNC:3391,1p36.12
EPHB2,Approved symbol,EPHB2,EPH receptor B2,HGNC:3393,1p36.12
EPHX3,Approved symbol,EPHX3,epoxide hydrolase 3,HGNC:23760,19p13.12
EPM2A,Approved symbol,EPM2A,"EPM2A glucan phosphatase, laforin",HGNC:3413,6q24.3
EPN2,Approved symbol,EPN2,epsin 2,HGNC:18639,17p11.2
EPPK1,Approved symbol,EPPK1,epiplakin 1,HGNC:15577,8q24.3
EPS15L1,Approved symbol,EPS15L1,epidermal growth factor receptor pathway substrate 15 like 1,HGNC:24634,19p13.11
EPS8,Approved symbol,EPS8,epidermal growth factor receptor pathway substrate 8,HGNC:3420,12p12.3
EPS8L1,Approved symbol,EPS8L1,EPS8 like 1,HGNC:21295,19q13.42
EQTN,Approved symbol,EQTN,equatorin,HGNC:1359,9p21.2
ERAS,Approved symbol,ERAS,ES cell expressed Ras,HGNC:5174,Xp11.23
ERBB2IP,Previous symbol,ERBIN,erbb2 interacting protein,HGNC:15842,5q12.3
ERBB3,Approved symbol,ERBB3,erb-b2 receptor tyrosine kinase 3,HGNC:3431,12q13.2
ERBB4,Approved symbol,ERBB4,erb-b2 receptor tyrosine kinase 4,HGNC:3432,2q34
ERC2,Approved symbol,ERC2,ELKS/RAB6-interacting/CAST family member 2,HGNC:31922,3p14.3
ERCC6L,Approved symbol,ERCC6L,"ERCC excision repair 6 like, spindle assembly checkpoint helicase",HGNC:20794,Xq13.1
ERCC6L2,Approved symbol,ERCC6L2,ERCC excision repair 6 like 2,HGNC:26922,9q22.32
ERGIC2,Approved symbol,ERGIC2,ERGIC and golgi 2,HGNC:30208,12p11.22
ERI3,Approved symbol,ERI3,ERI1 exoribonuclease family member 3,HGNC:17276,1p34.1
ERN2,Approved symbol,ERN2,endoplasmic reticulum to nucleus signaling 2,HGNC:16942,16p12.2
ERO1LB,Previous symbol,ERO1B,endoplasmic reticulum oxidoreductase 1 beta,HGNC:14355,1q42.3
ERP44,Approved symbol,ERP44,endoplasmic reticulum protein 44,HGNC:18311,9q31.1
ESPL1,Approved symbol,ESPL1,"extra spindle pole bodies like 1, separase",HGNC:16856,12q13.13
ESPN,Approved symbol,ESPN,espin,HGNC:13281,1p36.31
ESR1,Approved symbol,ESR1,estrogen receptor 1,HGNC:3467,6q25.1-q25.2
ESRP1,Approved symbol,ESRP1,epithelial splicing regulatory protein 1,HGNC:25966,8q22.1
ESRRG,Approved symbol,ESRRG,estrogen related receptor gamma,HGNC:3474,1q41
ESYT2,Approved symbol,ESYT2,extended synaptotagmin 2,HGNC:22211,7q36.3
ETAA1,Approved symbol,ETAA1,ETAA1 activator of ATR kinase,HGNC:24648,2p14
ETF1,Approved symbol,ETF1,eukaryotic translation termination factor 1,HGNC:3477,5q31.2
ETNK1,Approved symbol,ETNK1,ethanolamine kinase 1,HGNC:24649,12p12.1
ETV1,Approved symbol,ETV1,ETS variant transcription factor 1,HGNC:3490,7p21.2
ETV3L,Approved symbol,ETV3L,ETS variant transcription factor 3 like,HGNC:33834,1q23.1
ETV5,Approved symbol,ETV5,ETS variant transcription factor 5,HGNC:3494,3q27.2
EVC,Approved symbol,EVC,EvC ciliary complex subunit 1,HGNC:3497,4p16.2
EVC2,Approved symbol,EVC2,EvC ciliary complex subunit 2,HGNC:19747,4p16.2
EVI5,Approved symbol,EVI5,ecotropic viral integration site 5,HGNC:3501,1p22.1
EVPL,Approved symbol,EVPL,envoplakin,HGNC:3503,17q25.1
EVX1,Approved symbol,EVX1,even-skipped homeobox 1,HGNC:3506,7p15.2
EXO1,Approved symbol,EXO1,exonuclease 1,HGNC:3511,1q43
EXOC3L1,Approved symbol,EXOC3L1,exocyst complex component 3 like 1,HGNC:27540,16q22.1
EXOSC2,Approved symbol,EXOSC2,exosome component 2,HGNC:17097,9q34.12
EXOSC5,Approved symbol,EXOSC5,exosome component 5,HGNC:24662,19q13.2
EXOSC9,Approved symbol,EXOSC9,exosome component 9,HGNC:9137,4q27
EXPH5,Approved symbol,EXPH5,exophilin 5,HGNC:30578,11q22.3
EXT1,Approved symbol,EXT1,exostosin glycosyltransferase 1,HGNC:3512,8q24.11
EXT2,Approved symbol,EXT2,exostosin glycosyltransferase 2,HGNC:3513,11p11.2
EYA4,Approved symbol,EYA4,EYA transcriptional coactivator and phosphatase 4,HGNC:3522,6q23.2
EYS,Approved symbol,EYS,eyes shut homolog,HGNC:21555,6q12
EZH2,Approved symbol,EZH2,enhancer of zeste 2 polycomb repressive complex 2 subunit,HGNC:3527,7q36.1
F8,Approved symbol,F8,coagulation factor VIII,HGNC:3546,Xq28
F9,Approved symbol,F9,coagulation factor IX,HGNC:3551,Xq27.1
FAM101A,Previous symbol,RFLNA,refilin A,HGNC:27051,12q24.31
FAM105A,Previous symbol,OTULINL,OTU deubiquitinase with linear linkage specificity like,HGNC:25629,5p15.2
FAM107B,Approved symbol,FAM107B,family with sequence similarity 107 member B,HGNC:23726,10p13
FAM110C,Approved symbol,FAM110C,family with sequence similarity 110 member C,HGNC:33340,2p25.3
FAM115A,Previous symbol,TCAF1,TRPM8 channel associated factor 1,HGNC:22201,7q35
FAM120AOS,Approved symbol,FAM120AOS,family with sequence similarity 120A opposite strand,HGNC:23389,9q22.31
FAM120C,Approved symbol,FAM120C,family with sequence similarity 120C,HGNC:16949,Xp11.22
FAM122C,Previous symbol,PABIR3,PABIR family member 3,HGNC:25202,Xq26.3
FAM127C,Previous symbol,RTL8B,retrotransposon Gag like 8B,HGNC:33156,Xq26.3
FAM129C,Previous symbol,NIBAN3,niban apoptosis regulator 3,HGNC:24130,19p13.11
FAM132A,Previous symbol,C1QTNF12,C1q and TNF related 12,HGNC:32308,1p36.33
FAM135B,Approved symbol,FAM135B,family with sequence similarity 135 member B,HGNC:28029,8q24.23
FAM13B,Approved symbol,FAM13B,family with sequence similarity 13 member B,HGNC:1335,5q31.2
FAM13C,Approved symbol,FAM13C,family with sequence similarity 13 member C,HGNC:19371,10q21.1
FAM149A,Approved symbol,FAM149A,family with sequence similarity 149 member A,HGNC:24527,4q35.1
FAM153B,Approved symbol,FAM153B,family with sequence similarity 153 member B,HGNC:27323,5q35.2
FAM155B,Previous symbol,NALF2,NALCN channel auxiliary factor 2,HGNC:30701,Xq13.1
FAM160A2,Previous symbol,FHIP1B,FHF complex subunit HOOK interacting protein 1B,HGNC:25378,11p15.4
FAM163B,Approved symbol,FAM163B,family with sequence similarity 163 member B,HGNC:33277,9q34.2
FAM168B,Approved symbol,FAM168B,family with sequence similarity 168 member B,HGNC:27016,2q21.1
FAM170B,Approved symbol,FAM170B,family with sequence similarity 170 member B,HGNC:19736,10q11.23
FAM171B,Approved symbol,FAM171B,family with sequence similarity 171 member B,HGNC:29412,2q32.1
FAM175B,Previous symbol,ABRAXAS2,"abraxas 2, BRISC complex subunit",HGNC:28975,10q26.13
FAM181A,Approved symbol,FAM181A,family with sequence similarity 181 member A,HGNC:20491,14q32.12
FAM185A,Approved symbol,FAM185A,family with sequence similarity 185 member A,HGNC:22412,7q22.1
FAM189A2,Approved symbol,FAM189A2,family with sequence similarity 189 member A2,HGNC:24820,9q21.12
FAM193B,Approved symbol,FAM193B,family with sequence similarity 193 member B,HGNC:25524,5q35.3
FAM194B,Previous symbol,ERICH6B,glutamate rich 6B,HGNC:26523,13q14.13
FAM195A,Previous symbol,MCRIP2,MAPK regulated corepressor interacting protein 2,HGNC:14142,16p13.3
FAM196A,Previous symbol,INSYN2A,inhibitory synaptic factor 2A,HGNC:33859,10q26.2
FAM19A3,Previous symbol,TAFA3,TAFA chemokine like family member 3,HGNC:21590,1p13.2
FAM208A,Previous symbol,TASOR,transcription activation suppressor,HGNC:30314,3p14.3
FAM208B,Previous symbol,TASOR2,transcription activation suppressor family member 2,HGNC:23484,10p15.1
FAM214B,Approved symbol,FAM214B,family with sequence similarity 214 member B,HGNC:25666,9p13.3
FAM221A,Approved symbol,FAM221A,family with sequence similarity 221 member A,HGNC:27977,7p15.3
FAM227B,Approved symbol,FAM227B,family with sequence similarity 227 member B,HGNC:26543,15q21.2
FAM230A,Approved symbol,FAM230A,family with sequence similarity 230 member A,HGNC:45045,22q11.21
FAM3A,Approved symbol,FAM3A,FAM3 metabolism regulating signaling molecule A,HGNC:13749,Xq28
FAM46A,Previous symbol,TENT5A,terminal nucleotidyltransferase 5A,HGNC:18345,6q14.1
FAM47C,Approved symbol,FAM47C,family with sequence similarity 47 member C,HGNC:25301,Xp21.1
FAM65A,Previous symbol,RIPOR1,RHO family interacting cell polarization regulator 1,HGNC:25836,16q22.1
FAM71A,Previous symbol,GARIN4,golgi associated RAB2 interactor family member 4,HGNC:26541,1q32.3
FAM76B,Approved symbol,FAM76B,family with sequence similarity 76 member B,HGNC:28492,11q21
FAM83B,Approved symbol,FAM83B,family with sequence similarity 83 member B,HGNC:21357,6p12.1
FAM83F,Approved symbol,FAM83F,family with sequence similarity 83 member F,HGNC:25148,22q13.1
FAM83H,Approved symbol,FAM83H,family with sequence similarity 83 member H,HGNC:24797,8q24.3
FAM84B,Previous symbol,LRATD2,LRAT domain containing 2,HGNC:24166,8q24.21
FAM8A1,Approved symbol,FAM8A1,family with sequence similarity 8 member A1,HGNC:16372,6p22.3
FAM92B,Previous symbol,CIBAR2,CBY1 interacting BAR domain containing 2,HGNC:24781,16q24.1
FAM98A,Approved symbol,FAM98A,family with sequence similarity 98 member A,HGNC:24520,2p22.3
FAM98B,Approved symbol,FAM98B,family with sequence similarity 98 member B,HGNC:26773,15q14
FAN1,Approved symbol,FAN1,FANCD2 and FANCI associated nuclease 1,HGNC:29170,15q13.3
FANCA,Approved symbol,FANCA,FA complementation group A,HGNC:3582,16q24.3
FANCC,Approved symbol,FANCC,FA complementation group C,HGNC:3584,9q22.32
FANCD2P2,Approved symbol,FANCD2P2,FANCD2 pseudogene 2,HGNC:44488,3p25.2
FANCE,Approved symbol,FANCE,FA complementation group E,HGNC:3586,6p21.31
FANCI,Approved symbol,FANCI,FA complementation group I,HGNC:25568,15q26.1
FAP,Approved symbol,FAP,fibroblast activation protein alpha,HGNC:3590,2q24.2
FARP1,Approved symbol,FARP1,"FERM, ARH/RhoGEF and pleckstrin domain protein 1",HGNC:3591,13q32.2
FAT1,Approved symbol,FAT1,FAT atypical cadherin 1,HGNC:3595,4q35.2
FAT3,Approved symbol,FAT3,FAT atypical cadherin 3,HGNC:23112,11q14.3
FAT4,Approved symbol,FAT4,FAT atypical cadherin 4,HGNC:23109,4q28.1
